Delivery Start (CET);Delivery End (CET);SE1 High Price (EUR/MWh);SE1 Low Price (EUR/MWh);SE1 Open Price (EUR/MWh);SE1 Close Price (EUR/MWh);SE1 Average Price (EUR/MWh);SE1 Volume (MW);SE1 Buy Volume (MW);SE1 Sell Volume (MW);SE1 Average Price Last 3 H (EUR/MWh);SE1 Open Trade Time (CET);SE1 Close Trade Time (CET);SE2 High Price (EUR/MWh);SE2 Low Price (EUR/MWh);SE2 Open Price (EUR/MWh);SE2 Close Price (EUR/MWh);SE2 Average Price (EUR/MWh);SE2 Volume (MW);SE2 Buy Volume (MW);SE2 Sell Volume (MW);SE2 Average Price Last 3 H (EUR/MWh);SE2 Open Trade Time (CET);SE2 Close Trade Time (CET);SE2 Average Price Last 1 H (EUR/MWh);SE3 High Price (EUR/MWh);SE3 Low Price (EUR/MWh);SE3 Open Price (EUR/MWh);SE3 Close Price (EUR/MWh);SE3 Average Price (EUR/MWh);SE3 Volume (MW);SE3 Buy Volume (MW);SE3 Sell Volume (MW);SE3 Average Price Last 3 H (EUR/MWh);SE3 Open Trade Time (CET);SE3 Close Trade Time (CET);SE3 Average Price Last 1 H (EUR/MWh);SE4 High Price (EUR/MWh);SE4 Low Price (EUR/MWh);SE4 Open Price (EUR/MWh);SE4 Close Price (EUR/MWh);SE4 Average Price (EUR/MWh);SE4 Volume (MW);SE4 Buy Volume (MW);SE4 Sell Volume (MW);SE4 Average Price Last 3 H (EUR/MWh);SE4 Open Trade Time (CET);SE4 Close Trade Time (CET)
01.01.2023 00:00:00;01.01.2023 01:00:00;16.95;-2.36;11;-2.36;-0.51;137.4;4.2;133.2;-0.96;31.12.2022 19:00:51;31.12.2022 22:43:02;26.39;-9.7;11;1;2.77;383.6;84.7;300.1;-0.09;31.12.2022 18:04:40;31.12.2022 22:55:55;;40.46;-5;40.46;1;2.46;343.5;114.9;228.6;-0.1;31.12.2022 15:00:00;31.12.2022 22:55:55;;25.23;-5;11;-5;8.62;81.1;78.9;2.2;-1.15;31.12.2022 18:04:40;31.12.2022 22:46:53
01.01.2023 01:00:00;01.01.2023 02:00:00;7;-2.71;1.38;-1.46;-0.13;132.6;0.7;131.9;-0.25;31.12.2022 19:04:18;31.12.2022 23:28:09;10.6;-8.6;4.7;-8.6;1.02;401;97.6;303.6;-0.62;31.12.2022 18:00:13;31.12.2022 23:57:16;;35.45;-6.42;35.45;-6.42;-0.28;383.4;113;270.4;-0.79;31.12.2022 15:00:00;31.12.2022 23:56:05;;10.6;-4;4.54;-4;4.76;96.8;96.4;0.8;-1.34;31.12.2022 18:05:04;31.12.2022 23:40:15
01.01.2023 02:00:00;01.01.2023 03:00:00;6.95;-10;0.7;-4.99;-1.36;136.4;5.2;131.2;-5.36;31.12.2022 19:18:20;01.01.2023 00:57:12;9.9;-20;-9.9;-3.12;-1.69;562.9;169.2;395;-2.76;31.12.2022 15:26:24;01.01.2023 00:56:05;;31.15;-21;31.15;-3.12;-3.36;307.9;87.2;220.8;-2.8;31.12.2022 15:00:00;01.01.2023 00:56:05;;9.9;-10.25;0.7;-1.52;0.3;80.6;80.1;0.5;-4.4;31.12.2022 19:18:20;01.01.2023 00:31:03
01.01.2023 03:00:00;01.01.2023 04:00:00;4.8;-5.99;-2;-4.9;-4.95;138.6;10.8;127.8;-3.97;31.12.2022 18:58:03;01.01.2023 01:47:06;4.8;-20;-9.9;-5.74;-2.17;366.8;115.4;253.4;-5.39;31.12.2022 15:25:48;01.01.2023 01:56:06;;26.95;-14.9;26.95;-5.74;-2.6;294;122.4;172.3;-4.71;31.12.2022 15:00:00;01.01.2023 01:56:06;;4.85;-5.59;2.37;-4.4;-0.17;106.3;96.3;10.2;-5.02;31.12.2022 18:02:21;01.01.2023 01:31:04
01.01.2023 04:00:00;01.01.2023 05:00:00;4;-7.36;4;-2.23;-3.7;145.4;10.5;134.9;-5.28;31.12.2022 18:00:11;01.01.2023 02:53:04;4;-20;-10;-3;-1.84;422.7;110.3;313.9;-4.48;31.12.2022 15:34:04;01.01.2023 02:58:00;;26.95;-15;26.95;-3.75;-1.86;373.5;183.4;190.3;-3.45;31.12.2022 15:00:00;01.01.2023 02:52:09;;4;-7.7;4;-3.02;-0.89;58.8;51.6;7.4;-5.75;31.12.2022 18:00:11;01.01.2023 02:58:00
01.01.2023 05:00:00;01.01.2023 06:00:00;-0.71;-6.53;-1.05;-3.2;-4.24;114.5;7.1;107.4;-5.36;31.12.2022 18:28:37;01.01.2023 03:53:53;3;-20;-9.9;-7.26;-2.81;337.8;95.7;242.7;-5.69;31.12.2022 15:38:39;01.01.2023 03:57:09;;19.74;-14.9;19.74;-7.26;-2.32;321.4;188.8;132.6;-6.09;31.12.2022 15:00:00;01.01.2023 03:57:09;;-0.71;-6.19;-1.05;-6.19;-4.24;16.7;12.6;4.1;-4.82;31.12.2022 18:28:37;01.01.2023 03:00:01
01.01.2023 06:00:00;01.01.2023 07:00:00;5.69;-5;0.09;-1;-3.48;139.2;3.3;135.9;-4.51;31.12.2022 20:16:05;01.01.2023 04:59:04;7.77;-7.22;0.04;-7.22;1.21;278.8;57.5;222.2;-3.58;31.12.2022 19:05:12;01.01.2023 04:57:37;;26.95;-7.46;26.95;-3.15;2.34;187.2;160.1;27.1;-3.62;31.12.2022 15:00:00;01.01.2023 04:59:00;;5.69;-7.73;2.63;-2.59;0.81;26.5;15.6;10.9;-2.59;31.12.2022 18:00:26;01.01.2023 03:52:49
01.01.2023 07:00:00;01.01.2023 08:00:00;6.12;-5.2;4;-1.81;-2.74;120.2;5.3;114.9;-4.76;31.12.2022 18:00:11;01.01.2023 05:56:10;7.77;-5.27;0;-2.9;1.03;341.6;75;267.3;-2.42;31.12.2022 16:36:53;01.01.2023 05:59:00;;17.05;-5.38;17.05;-2.06;0.71;315.8;239.4;119.8;-2.39;31.12.2022 15:00:00;01.01.2023 05:59:00;;6.12;-4.7;0;-4.7;0.78;22.9;7.7;15.2;-4.7;31.12.2022 16:36:53;01.01.2023 05:00:49
01.01.2023 08:00:00;01.01.2023 09:00:00;1.53;-5;0.95;-1.5;-2.45;128.8;8.2;120.6;-1.14;31.12.2022 20:16:05;01.01.2023 06:47:47;27.05;-8.34;27.05;0.71;2.27;209.9;38.6;171.3;-3.88;31.12.2022 17:55:25;01.01.2023 06:31:02;;7.77;-8.4;1.7;-3.7;1.71;236.5;221;35.5;-2.36;31.12.2022 15:03:09;01.01.2023 06:59:55;;2.53;-6.44;2;-0.94;1.22;22.8;15.8;7;-2.12;31.12.2022 18:00:51;01.01.2023 06:52:15
01.01.2023 09:00:00;01.01.2023 10:00:00;3.1;-5.2;3.1;-3.7;-2.19;122.6;2.3;120.5;-2.21;31.12.2022 20:16:05;01.01.2023 07:59:46;7.77;-5.42;3.1;-5.42;2.43;189.5;57.1;132.4;-2.11;31.12.2022 20:16:05;01.01.2023 07:54:22;;7.77;-11.15;2.8;-3.7;0.2;385.9;314.2;91.7;-1.83;31.12.2022 15:03:12;01.01.2023 07:59:46;;0;-10;-1.27;-10;-3.85;103.1;102.9;0.2;-4.31;01.01.2023 01:45:51;01.01.2023 07:58:25
01.01.2023 10:00:00;01.01.2023 11:00:00;8.95;-4.6;4.43;-3.94;0.78;113.1;8.6;104.8;-1.18;31.12.2022 20:16:05;01.01.2023 08:59:00;8.95;-5.42;4.43;-2.8;3.17;165.5;27.3;138.2;-2.12;31.12.2022 20:16:05;01.01.2023 08:59:00;;8.95;-6.45;4.1;-3.94;0.32;349.7;339.8;34.9;-2.74;31.12.2022 15:03:28;01.01.2023 08:59:00;;8.99;-5.43;8.95;-2.8;0.57;98.6;98.6;1;-3.1;01.01.2023 04:25:42;01.01.2023 08:59:00
01.01.2023 11:00:00;01.01.2023 12:00:00;6.06;-6.1;6.06;-6.1;1.9;132.8;23.7;109.1;-0.11;31.12.2022 20:16:05;01.01.2023 09:59:10;7.77;-5.43;6.06;-5.43;5.99;128.8;10.4;118.6;-0.99;31.12.2022 20:16:05;01.01.2023 09:48:54;;7.77;-9.77;5.9;-9.77;1.1;354.6;314.6;68.2;-2.33;31.12.2022 15:03:32;01.01.2023 09:59:27;;5;-3.06;4.53;-3;1.04;147;146.9;0.2;-0.5;01.01.2023 01:00:14;01.01.2023 09:47:48
01.01.2023 12:00:00;01.01.2023 13:00:00;6.06;-6.1;6.06;-6.1;3.12;120.8;17.4;103.4;-1.51;31.12.2022 20:16:05;01.01.2023 10:56:04;7.77;-17.95;6.06;-16.3;3.49;131.4;31.2;100.6;-4.51;31.12.2022 20:16:05;01.01.2023 10:59:50;;7.77;-13;5.9;-13;-0.73;389.8;358.5;78.9;-6.38;31.12.2022 15:03:35;01.01.2023 10:59:27;;6;-12.9;6;-12.9;1.42;133.2;133.2;0.2;-2.81;01.01.2023 06:02:18;01.01.2023 10:49:30
01.01.2023 13:00:00;01.01.2023 14:00:00;3.71;-6.7;2.63;-3.51;1.01;131.9;25.8;106.3;-2.14;31.12.2022 20:16:05;01.01.2023 11:48:13;7.77;-11.3;2.63;-11.3;1.31;155;43.5;111.5;-6.41;31.12.2022 20:16:05;01.01.2023 11:53:53;;7.77;-13.3;5.5;-13.3;-0.29;373.2;332;90.9;-8.38;31.12.2022 15:03:43;01.01.2023 11:59:27;;4.59;-7.86;1;-7.71;1.89;145.1;144.6;0.5;-4.84;01.01.2023 04:32:32;01.01.2023 11:52:10
01.01.2023 14:00:00;01.01.2023 15:00:00;17.64;-5;7.9;1.36;1.82;79.1;9.1;70;-1.83;31.12.2022 20:58:02;01.01.2023 12:56:02;16.07;-7.2;7.7;-7.2;5.77;118.3;39.1;79.2;-2.12;31.12.2022 18:00:11;01.01.2023 12:59:31;;17.64;-7.2;7.9;-7.2;3.89;263.5;221.1;44.4;-3.46;31.12.2022 20:58:02;01.01.2023 12:59:31;;17.64;-4.87;7.9;-3.24;9.1;125.4;122.2;5.2;-2.11;31.12.2022 20:58:02;01.01.2023 12:59:27
01.01.2023 15:00:00;01.01.2023 16:00:00;34.1;13.43;30.7;27.46;23.72;256.7;90.5;166.6;22.05;31.12.2022 20:16:05;01.01.2023 13:59:32;34.1;13.43;30.7;32;24.44;122;32.7;89.3;24.18;31.12.2022 20:16:05;01.01.2023 13:53:02;;52.21;13.43;52.21;30.45;29.28;192.7;66.8;125.9;29.43;31.12.2022 15:00:00;01.01.2023 13:59:00;;38;13.43;20.8;32.6;26.73;89.7;82.4;15.2;27.22;31.12.2022 20:43:22;01.01.2023 13:56:56
01.01.2023 16:00:00;01.01.2023 17:00:00;50.87;30;43.3;48.4;35.24;198.9;9.5;189.4;39.12;31.12.2022 18:26:11;01.01.2023 14:31:02;63.25;31.8;63.25;55.4;48.42;157.5;5.7;151.8;48.79;31.12.2022 18:02:11;01.01.2023 14:57:07;;58.99;30.3;58.99;54.9;48.01;233.6;74.5;159.1;52.45;31.12.2022 15:00:00;01.01.2023 14:57:17;;59.9;30;43.3;59.9;38.38;121.6;111.8;9.8;44.94;31.12.2022 18:26:11;01.01.2023 14:56:45
01.01.2023 17:00:00;01.01.2023 18:00:00;83;33;55.96;70.96;52.35;417.8;21.1;397.7;56.12;31.12.2022 18:00:13;01.01.2023 15:59:03;83;33;55.96;52;56.91;425.5;256.7;185.6;59.8;31.12.2022 18:00:13;01.01.2023 15:58:44;;83;33.03;55.9;80;56.18;222.5;139.1;88.7;62.43;31.12.2022 18:08:16;01.01.2023 15:59:03;;68.5;33.3;45.2;68.5;47.28;47.6;30;17.6;59.05;31.12.2022 23:57:08;01.01.2023 15:00:41
01.01.2023 18:00:00;01.01.2023 19:00:00;56.34;29;54.23;36.61;46.64;573.4;198.6;386.4;44.4;31.12.2022 20:10:54;01.01.2023 16:59:00;57.57;28.64;54.23;38.93;49.43;580.8;441.5;141.3;48.14;31.12.2022 20:10:54;01.01.2023 16:59:02;;55.65;19;39.2;31.04;43.44;358.4;344.9;32.5;42.43;31.12.2022 23:37:01;01.01.2023 16:59:00;;55.7;30;47.1;36.61;42.21;61.3;44.7;18.1;43.76;01.01.2023 07:53:27;01.01.2023 16:59:00
01.01.2023 19:00:00;01.01.2023 20:00:00;60.64;31.7;53.63;53.63;47.05;314.8;86.2;269.6;43.61;31.12.2022 20:10:54;01.01.2023 17:58:17;63.86;34.6;53.63;53.53;47.79;390;235.7;165.8;43.48;31.12.2022 20:10:54;01.01.2023 17:58:15;;55;36.75;53.7;43.68;45.41;415;412;13.6;44.66;01.01.2023 09:11:44;01.01.2023 17:59:42;;60.64;37;55;52.63;46.73;51.4;40.8;10.6;45.57;01.01.2023 09:43:37;01.01.2023 17:49:33
01.01.2023 20:00:00;01.01.2023 21:00:00;49.67;20;48.05;30.03;40.61;367;91.9;281.6;44.83;31.12.2022 20:10:54;01.01.2023 18:59:00;68.1;20;48.05;46.52;44.74;287.8;168.9;127.1;44.05;31.12.2022 20:10:54;01.01.2023 18:56:23;;52.03;28.05;38.6;30.09;41.75;400.3;390.7;24.4;40.1;31.12.2022 23:36:50;01.01.2023 18:59:51;;47;20;38.6;30.09;39.75;50.4;38.2;12.2;31.39;31.12.2022 23:36:50;01.01.2023 18:59:51
01.01.2023 21:00:00;01.01.2023 22:00:00;77.2;19;44.68;35;48.86;249.1;30.9;218.3;46.17;31.12.2022 20:10:54;01.01.2023 19:59:00;77.2;19;44.68;41.79;47.81;259.4;77.6;181.8;49.19;31.12.2022 20:10:54;01.01.2023 19:59:56;;77.2;19;39;32;43.69;299.4;244.1;60.7;43.94;01.01.2023 08:59:04;01.01.2023 19:59:39;;60;19;39.2;42.79;45.02;99;67.7;31.3;49.35;01.01.2023 08:59:04;01.01.2023 19:56:24
01.01.2023 22:00:00;01.01.2023 23:00:00;81.93;20.3;53;26.6;46.05;304.5;56.1;249.2;31.63;31.12.2022 20:05:42;01.01.2023 20:59:00;81.93;22.04;45;26.6;49.25;192.7;52.3;140.8;34.82;31.12.2022 16:07:19;01.01.2023 20:59:00;;81.93;-4.2;45.5;-3.4;38.26;431.5;361.8;71.1;29.7;31.12.2022 15:34:34;01.01.2023 20:59:49;;57.32;10;46;22.04;40.27;49.3;32.6;16.7;19.82;31.12.2022 15:34:30;01.01.2023 20:56:25
01.01.2023 23:00:00;02.01.2023 00:00:00;71;19;29.85;34.73;43.88;288.8;63.4;228;42.97;31.12.2022 20:10:54;01.01.2023 21:59:00;71;19;29.85;30.33;47.98;214.7;42.8;173.3;44.24;31.12.2022 20:10:54;01.01.2023 21:59:00;;71.04;19;34;30;40.92;124.8;78.5;55.5;31.34;01.01.2023 08:59:35;01.01.2023 21:59:49;;71.04;19;34.7;34.73;52.5;30.5;16.8;13.7;41.75;01.01.2023 09:39:04;01.01.2023 21:59:00
02.01.2023 00:00:00;02.01.2023 01:00:00;62.93;30.71;52.9;38.73;48.29;74.1;52.2;22;39.85;01.01.2023 15:24:28;01.01.2023 22:56:26;62.93;34.91;52.9;45.39;48.43;214.2;50;164.2;47;01.01.2023 15:24:28;01.01.2023 22:59:14;;62.93;30;52.9;43.21;44.46;224.2;212.4;11.8;43.21;01.01.2023 15:24:28;01.01.2023 22:59:14;;62.93;34.84;62.93;45.38;46.1;25.6;14.8;10.8;39.86;01.01.2023 18:01:11;01.01.2023 22:57:02
02.01.2023 01:00:00;02.01.2023 02:00:00;73.87;28.9;44.7;28.9;42.29;100;85.4;14.6;38.76;01.01.2023 15:24:56;01.01.2023 23:53:08;62.5;29;46.7;30;45.81;256.5;75.5;181;41.48;01.01.2023 15:24:53;01.01.2023 23:55:09;;56.7;30;46.7;30;48.19;250.5;224.6;25.9;47.91;01.01.2023 15:24:53;01.01.2023 23:55:02;;52.35;20;52.35;25.11;35.58;11;8.2;2.8;46.23;01.01.2023 18:01:11;01.01.2023 23:51:00
02.01.2023 02:00:00;02.01.2023 03:00:00;55.08;8.89;43.9;11.86;33.14;103.4;92;11.4;20.97;01.01.2023 15:25:42;02.01.2023 00:58:36;53.03;5;47.9;9.77;33.55;237.9;133.3;104.6;12.93;01.01.2023 15:25:24;02.01.2023 00:55:02;;54.99;8.27;47.9;8.27;40.16;211.2;208.7;2.5;26.69;01.01.2023 15:25:24;02.01.2023 00:31:02;;43.8;5.54;43.8;17.69;30.7;22.7;17.8;4.9;31.45;01.01.2023 19:00:54;02.01.2023 00:59:00
02.01.2023 03:00:00;02.01.2023 04:00:00;33.2;17;33.2;25.05;25.11;81;80.9;0.1;17.02;01.01.2023 15:26:59;02.01.2023 01:59:09;66.6;10;66.6;36.08;38.37;449.7;155.2;295.7;26.07;01.01.2023 15:00:00;02.01.2023 01:55:04;;50;9.7;39.2;28.46;32.56;295.2;282.7;16.3;20.15;01.01.2023 15:26:59;02.01.2023 01:59:30;;49.6;10.37;49.6;25.19;36.02;19;19;0;20.67;01.01.2023 18:25:57;02.01.2023 01:57:58
02.01.2023 04:00:00;02.01.2023 05:00:00;54.11;39.1;39.1;51.2;44.07;188.5;159.3;29.2;46.63;01.01.2023 15:26:41;02.01.2023 02:59:00;60.33;30.1;45.1;47.05;46.49;402.2;146.3;255.9;46.81;01.01.2023 15:26:41;02.01.2023 02:59:53;;60.33;30;35.1;51.4;45.57;333.3;294.8;38.5;44.03;01.01.2023 15:26:41;02.01.2023 02:59:00;;54.67;20;50.57;54.54;32.55;10.8;8;2.8;46.63;01.01.2023 19:23:27;02.01.2023 02:59:00
02.01.2023 05:00:00;02.01.2023 06:00:00;65.1;40.27;56.7;60;54.21;134.1;132.2;1.9;54.82;01.01.2023 15:26:16;02.01.2023 03:59:00;65.7;37.49;56.7;41;48.54;207.7;102.1;105.6;41.59;01.01.2023 15:26:16;02.01.2023 03:45:42;;68.85;37.4;65.7;52.1;53.42;301.9;291.3;10.8;55.9;01.01.2023 15:26:16;02.01.2023 03:59:00;;61.9;32.26;54.3;52;50.06;12.6;8.4;4.2;48.59;01.01.2023 22:35:42;02.01.2023 03:59:00
02.01.2023 06:00:00;02.01.2023 07:00:00;78.18;42.9;42.9;58.07;50.48;272.4;73.7;198.7;70.47;01.01.2023 15:56:20;02.01.2023 04:59:48;88.39;42.9;82.6;61.36;56.28;470.4;335.9;134.5;74.81;01.01.2023 15:23:54;02.01.2023 04:56:33;;93.94;50;87.6;61.36;70.09;245.1;242;4.2;81.49;01.01.2023 15:23:54;02.01.2023 04:56:33;;96.5;64.24;96.5;64.24;82.26;20;13.4;6.6;77.13;01.01.2023 22:16:52;02.01.2023 04:51:02
02.01.2023 07:00:00;02.01.2023 08:00:00;122.02;88.95;122.02;88.95;119.48;259.7;18.1;241.6;92.97;01.01.2023 15:56:20;02.01.2023 05:56:34;122.02;87.79;122.02;87.8;114.16;349.6;311.5;42.1;95.8;01.01.2023 15:56:20;02.01.2023 05:59:23;;138;85;138;92;106.76;255.7;147.8;107.9;91.95;01.01.2023 18:01:13;02.01.2023 05:56:16;;138;110.42;138;110.42;129.92;21;15.6;5.4;;01.01.2023 18:43:25;02.01.2023 03:54:38
02.01.2023 08:00:00;02.01.2023 09:00:00;120.94;93.97;120.94;94.06;114.07;204.7;27.5;180.4;99.92;01.01.2023 15:56:20;02.01.2023 06:56:52;120.94;94.35;120.94;94.35;111.3;250.8;231;23;99.56;01.01.2023 15:56:20;02.01.2023 06:56:35;;145;93;145;93;114.47;104.8;100.5;4.3;101.84;01.01.2023 15:00:01;02.01.2023 06:57:38;;144.47;94.47;144.47;94.47;125.19;18;18;0;101.1;01.01.2023 18:01:11;02.01.2023 06:51:08
