Delivery Start (CET);Delivery End (CET);SE1 High Price (EUR/MWh);SE1 Low Price (EUR/MWh);SE1 Open Price (EUR/MWh);SE1 Close Price (EUR/MWh);SE1 Average Price (EUR/MWh);SE1 Volume (MW);SE1 Buy Volume (MW);SE1 Sell Volume (MW);SE1 Average Price Last 3 H (EUR/MWh);SE1 Open Trade Time (CET);SE1 Close Trade Time (CET);SE2 High Price (EUR/MWh);SE2 Low Price (EUR/MWh);SE2 Open Price (EUR/MWh);SE2 Close Price (EUR/MWh);SE2 Average Price (EUR/MWh);SE2 Volume (MW);SE2 Buy Volume (MW);SE2 Sell Volume (MW);SE2 Average Price Last 3 H (EUR/MWh);SE2 Open Trade Time (CET);SE2 Close Trade Time (CET);SE3 High Price (EUR/MWh);SE3 Low Price (EUR/MWh);SE3 Open Price (EUR/MWh);SE3 Close Price (EUR/MWh);SE3 Average Price (EUR/MWh);SE3 Volume (MW);SE3 Buy Volume (MW);SE3 Sell Volume (MW);SE3 Average Price Last 3 H (EUR/MWh);SE3 Open Trade Time (CET);SE3 Close Trade Time (CET);SE4 High Price (EUR/MWh);SE4 Low Price (EUR/MWh);SE4 Open Price (EUR/MWh);SE4 Close Price (EUR/MWh);SE4 Average Price (EUR/MWh);SE4 Volume (MW);SE4 Buy Volume (MW);SE4 Sell Volume (MW);SE4 Average Price Last 3 H (EUR/MWh);SE4 Open Trade Time (CET);SE4 Close Trade Time (CET)
01.01.2024 00:00:00;01.01.2024 01:00:00;31.9;19.06;29.1;31.9;25.69;21.3;10.3;12.4;25.19;31.12.2023 20:10:26;31.12.2023 22:56:33;32.85;9.54;25;26.09;23.8;207.5;131.3;82.7;24.21;31.12.2023 16:31:12;31.12.2023 22:59:55;30.65;19.9;25;29.56;25.59;184.3;148;65.3;25.13;31.12.2023 16:31:12;31.12.2023 22:59:58;31.9;19.5;29.34;27.44;25.72;78.6;29.8;50.4;24.82;31.12.2023 15:00:13;31.12.2023 22:59:00
01.01.2024 01:00:00;01.01.2024 02:00:00;26;16.99;25;26;21.59;35.5;12.9;24;21.82;31.12.2023 16:47:38;31.12.2023 23:56:15;28.79;13.86;27.46;23.04;21.9;281.7;220.3;81.6;22.94;31.12.2023 15:00:24;31.12.2023 23:59:05;35;11.9;27.46;26.97;23.34;251.6;176.9;77.3;21.56;31.12.2023 15:00:24;31.12.2023 23:57:48;28.46;18.11;28.46;27;22.69;58.6;21.5;37.1;20.62;31.12.2023 15:00:13;31.12.2023 23:56:07
01.01.2024 02:00:00;01.01.2024 03:00:00;34.07;20;25;34.07;26.54;29.6;1;28.6;27.32;31.12.2023 16:47:38;01.01.2024 00:58:28;28.66;13.29;25.66;28.66;22.88;279.6;169.5;114.1;24.65;31.12.2023 15:00:00;01.01.2024 00:56:31;35;3.94;35;32;23.72;231.3;114.4;122.4;23.93;31.12.2023 15:02:12;01.01.2024 00:57:48;32;18.08;26.09;32;23.52;57.4;24.9;32.5;25.35;31.12.2023 15:00:13;01.01.2024 00:57:48
01.01.2024 03:00:00;01.01.2024 04:00:00;29.65;12;25;29.65;24.03;77.9;38;39.9;26.15;31.12.2023 16:47:38;01.01.2024 01:53:32;30;3.31;14.2;20;22.25;396.3;269.9;149.2;23.51;31.12.2023 15:00:00;01.01.2024 01:59:50;35;3.31;35;22;23.94;235.3;135.4;106.3;25.07;31.12.2023 15:02:12;01.01.2024 01:59:48;29.65;18.83;24.48;29.65;24.09;57.4;24.9;35.5;25.48;31.12.2023 15:00:13;01.01.2024 01:53:32
01.01.2024 04:00:00;01.01.2024 05:00:00;37.91;10;25;34.65;22.44;95.3;59;36.3;26.3;31.12.2023 16:47:38;01.01.2024 02:38:48;34.93;10.27;10.7;19.03;22.02;363;232.5;158.8;26.58;31.12.2023 15:00:00;01.01.2024 02:59:00;38.87;10;10.7;27.35;21.68;487.6;251.9;283.7;28.46;31.12.2023 15:00:00;01.01.2024 02:59:03;34.93;19.16;19.98;19.16;26.25;20.5;4.5;16.5;27.13;31.12.2023 20:57:15;01.01.2024 02:52:42
01.01.2024 05:00:00;01.01.2024 06:00:00;25;18.11;25;23.17;20.92;87.4;19;69.4;22.49;31.12.2023 16:47:38;01.01.2024 03:40:38;27.05;8.65;9.26;24.91;19.51;515.7;295.7;266.8;23.05;31.12.2023 15:00:00;01.01.2024 03:57:12;35;8.4;9.26;22;18.21;551.1;358;241.1;21.15;31.12.2023 15:00:00;01.01.2024 03:59:00;27.38;17.12;17.95;27.38;20.61;43;19;25.3;21.27;31.12.2023 20:57:19;01.01.2024 03:46:34
01.01.2024 06:00:00;01.01.2024 07:00:00;37.88;19.48;25;36.59;23.45;107.4;72.1;35.3;29.15;31.12.2023 16:47:38;01.01.2024 04:53:59;47.6;9.06;9.26;47.6;22.8;451.1;237.8;230.5;28.59;31.12.2023 15:00:00;01.01.2024 04:59:56;43.9;9.26;9.26;43.9;20.83;502.8;274.5;237.3;27.49;31.12.2023 15:00:00;01.01.2024 04:59:52;42.9;21.63;22.62;42.9;26.12;30.5;5;25.5;26.88;01.01.2024 02:14:04;01.01.2024 04:59:04
01.01.2024 07:00:00;01.01.2024 08:00:00;44.74;22.2;25;43;28.7;95.9;57.1;38.8;36.52;31.12.2023 16:47:38;01.01.2024 05:56:46;44.74;9.26;9.26;37.85;24.42;356.9;170;190.3;33.29;31.12.2023 15:00:00;01.01.2024 05:59:41;45;9.26;9.26;43;23.13;489.6;271.9;217.7;37.63;31.12.2023 15:00:00;01.01.2024 05:59:51;44.85;24.87;25;44.85;32.34;32.2;3;29.2;35.35;01.01.2024 02:06:25;01.01.2024 05:52:20
01.01.2024 08:00:00;01.01.2024 09:00:00;41.61;25;25;38.02;28.9;112.4;75.1;37.3;37.07;31.12.2023 16:47:38;01.01.2024 06:59:01;42.73;10.82;10.82;41;28.37;386.1;139;252.6;35.49;31.12.2023 15:00:00;01.01.2024 06:59:00;42.64;10.82;10.82;41;25.81;498.3;345.5;154.3;36.39;31.12.2023 15:00:00;01.01.2024 06:59:15;42.64;26.68;26.68;41.93;33.51;79.2;17.8;62.8;38.38;31.12.2023 20:58:07;01.01.2024 06:57:10
01.01.2024 09:00:00;01.01.2024 10:00:00;41.92;25;25;41.92;29.61;135.2;115.4;19.8;40.14;31.12.2023 16:47:38;01.01.2024 07:56:19;42.47;13.32;13.32;38;31.2;424.6;181.2;253.7;37.49;31.12.2023 15:00:00;01.01.2024 07:59:03;43.5;13.32;13.32;38;27.9;452.2;326.4;144.4;37.43;31.12.2023 15:00:00;01.01.2024 07:59:00;44.6;27.48;27.48;40.69;35.28;81.8;16.3;65.5;37.8;31.12.2023 15:57:35;01.01.2024 07:57:41
